time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-10-02 09:30:00-04:00,SentimentTrader,ca35f1fe44ac4fd4adae7ac56ada433d,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,207.57030532836913,124.0,0.0
2020-10-05 09:30:00-04:00,SentimentTrader,f7ecb038a93c4e7b90e618326239a9d2,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-05 09:30:00-04:00,SentimentTrader,4b8c731b5f3d4e72ac388d513c26def1,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-05 09:30:00-04:00,SentimentTrader,f7ecb038a93c4e7b90e618326239a9d2,MSFT,buy,market,fill,1,gtc,0.0,1,stock,207.22000122070312,125.0,0.0
2020-10-12 09:30:00-04:00,SentimentTrader,4b8c731b5f3d4e72ac388d513c26def1,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,217.14420059204102,125.0,0.0
2020-10-13 09:30:00-04:00,SentimentTrader,373c0c6cb3f845fdbe3d7a575089a994,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-13 09:30:00-04:00,SentimentTrader,763b7836e89f4aee81de8623a66f3f5f,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-13 09:30:00-04:00,SentimentTrader,373c0c6cb3f845fdbe3d7a575089a994,MSFT,buy,market,fill,1,gtc,0.0,1,stock,222.72000122070312,117.0,0.0
2020-10-15 09:30:00-04:00,SentimentTrader,763b7836e89f4aee81de8623a66f3f5f,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,217.10000610351562,117.0,0.0
2020-10-16 09:30:00-04:00,SentimentTrader,e83ca62e509145c5afa16d7607cf3a0f,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-16 09:30:00-04:00,SentimentTrader,a74a233b13ec4f4d8312fbc1a6045e5f,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-16 09:30:00-04:00,SentimentTrader,e83ca62e509145c5afa16d7607cf3a0f,MSFT,buy,market,fill,1,gtc,0.0,1,stock,220.14999389648438,118.0,0.0
2020-10-19 08:30:00-04:00,SentimentTrader,a74a233b13ec4f4d8312fbc1a6045e5f,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,215.62129348754883,118.0,0.0
2020-10-19 09:30:00-04:00,SentimentTrader,76d4e937824a4c89856b87b67ff1cf20,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-19 09:30:00-04:00,SentimentTrader,4ac6fd1cfc54455e9add50d421802513,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-19 09:30:00-04:00,SentimentTrader,76d4e937824a4c89856b87b67ff1cf20,MSFT,buy,market,fill,1,gtc,0.0,1,stock,220.4199981689453,117.0,0.0
2020-10-20 09:30:00-04:00,SentimentTrader,4ac6fd1cfc54455e9add50d421802513,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,215.63100296020508,117.0,0.0
2020-10-21 09:30:00-04:00,SentimentTrader,8a9beb520c52453ab3119d7123737151,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-21 09:30:00-04:00,SentimentTrader,45e8a2bd0a4344e6972700a9d2d93de8,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-21 09:30:00-04:00,SentimentTrader,8a9beb520c52453ab3119d7123737151,MSFT,buy,market,fill,1,gtc,0.0,1,stock,213.1199951171875,121.0,0.0
2020-10-26 08:30:00-04:00,SentimentTrader,45e8a2bd0a4344e6972700a9d2d93de8,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,210.41239822387695,121.0,0.0
2020-10-26 09:30:00-04:00,SentimentTrader,e1164b8d195543fa83546a6c8bd2c37b,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,SentimentTrader,da74d3e76f3d4d63a4ee1c63ee4176e9,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,SentimentTrader,e1164b8d195543fa83546a6c8bd2c37b,MSFT,buy,market,fill,1,gtc,0.0,1,stock,213.85000610351562,120.0,0.0
2020-10-28 09:30:00-04:00,SentimentTrader,da74d3e76f3d4d63a4ee1c63ee4176e9,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,207.6699981689453,120.0,0.0
2020-10-29 09:30:00-04:00,SentimentTrader,48b197883e6d44599145e472f0117c5f,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
